"id","title","price","audit_status","audit_reason","link"
"1621197648","2 kapaklı dolap
","350 TL","safe",,"https://www.letgo.com/item/2-kapakl-dolap-iid-1621197648"
"1722977043","ahsap cita giysi dolap","300 TL","safe",,"https://www.letgo.com/item/ahsap-cita-giysi-dolap-iid-1722977043"
"1723988114","İki kapılı dolap","250 TL","safe",,"https://www.letgo.com/item/iki-kapl-dolap-iid-1723988114"
"1722945253","dolap","300 TL","safe",,"https://www.letgo.com/item/dolap-iid-1722945253"
"1705413847","uzun dolap
","350 TL","safe",,"https://www.letgo.com/item/uzun-dolap-iid-1705413847"
"1723501030","İki kapılı gardrop dolap - öğrenciye uygun","1 TL","safe",,"https://www.letgo.com/item/iki-kapl-gardrop-dolap---ogrenciye-uygun-iid-1723501030"
"1718982669","demonte gardrop, bilgisayar masası, dolap ve açılır kapanır yatak
","1 TL","safe",,"https://www.letgo.com/item/demonte-gardrop-bilgisayar-masas-dolap-ve-aclr-kapanr-yatak-iid-1718982669"
"1723658230","Gardırop iki kapaklı dolap","250 TL","safe",,"https://www.letgo.com/item/gardrop-iki-kapakl-dolap-iid-1723658230"
"1703879097","Mavi Dolap, gardırop, vestiyer","5 TL","safe",,"https://www.letgo.com/item/mavi-dolap-gardrop-vestiyer-iid-1703879097"
"1723762448","ücretsiz koltuk takımı
","1 TL","safe",,"https://www.letgo.com/item/ucretsiz-koltuk-takm-iid-1723762448"
"1723725943","koltuk takımı
","1 TL","safe",,"https://www.letgo.com/item/koltuk-takm-iid-1723725943"
"1716184649","KOLTUK TAKIMI TAMİRİ YAPİLİR
","111 TL","safe",,"https://www.letgo.com/item/koltuk-takimi-tamiri-yapilir-iid-1716184649"
"1723716408","Koltuk Takımı (Maxi)
","100 TL","safe",,"https://www.letgo.com/item/koltuk-takm-maxi-iid-1723716408"
"1719887859","koltuk takımı
","1 TL","safe",,"https://www.letgo.com/item/koltuk-takm-iid-1719887859"
"1723983060","ÜCRETSİZ KOLTUK TAKIMI 2 GÜN GEÇERLİ
","1 TL","safe",,"https://www.letgo.com/item/ucretsiz-koltuk-takimi-2-gun-gecerli-iid-1723983060"
"1720843146","koltuk takımı
","500 TL","safe",,"https://www.letgo.com/item/koltuk-takm-iid-1720843146"
"1723273720","koltuk takımı öğrenciye ücretsiz verilecek","1 TL","safe",,"https://www.letgo.com/item/koltuk-takm-ogrenciye-ucretsiz-verilecek-iid-1723273720"
"1720142601","koltuk takımı
","500 TL","safe",,"https://www.letgo.com/item/koltuk-takm-iid-1720142601"
"1723697163","ücretsiz koltuk takımı 3+2 enza home
","1 TL","safe",,"https://www.letgo.com/item/ucretsiz-koltuk-takm-32-enza-home-iid-1723697163"
"1666097840","Koltuk takımı
","250 TL","safe",,"https://www.letgo.com/item/koltuk-takm-iid-1666097840"
"1679529629","Buzdolabı Düzenleyici
","450 TL","safe",,"https://www.letgo.com/item/buzdolab-duzenleyici-iid-1679529629"
"1723943894","L Koltuk Ve Buzdolabı","300 TL","safe",,"https://www.letgo.com/item/l-koltuk-ve-buzdolab-iid-1723943894"
"1723764233","vestel buzdolabı yedek parça
","99 TL","safe",,"https://www.letgo.com/item/vestel-buzdolab-yedek-parca-iid-1723764233"
"1721112409","alaska buzdolabı","300 TL","safe",,"https://www.letgo.com/item/alaska-buzdolab-iid-1721112409"
"1723359636","baza yatak","200 TL","safe",,"https://www.letgo.com/item/baza-yatak-iid-1723359636"
"1721232325","baza basligi
","500 TL","safe",,"https://www.letgo.com/item/baza-basligi-iid-1721232325"
"1724000736","2li yatak bazası
","500 TL","safe",,"https://www.letgo.com/item/2li-yatak-bazas-iid-1724000736"
"1710580150","yatak başlığı baza başlığı 160 lik yatak baza başlığı
","400 TL","safe",,"https://www.letgo.com/item/yatak-baslg-baza-baslg-160-lik-yatak-baza-baslg-iid-1710580150"
"1721724393","yatak+baza
","500 TL","safe",,"https://www.letgo.com/item/yatakbaza-iid-1721724393"
"1722247031","Baza yatak tekli ücretsiz
","1 TL","safe",,"https://www.letgo.com/item/baza-yatak-tekli-ucretsiz-iid-1722247031"
"1718064451","Ücretsiz çift kişilik yatak
","1 TL","safe",,"https://www.letgo.com/item/ucretsiz-cift-kisilik-yatak-iid-1718064451"
"1721327759","BAZA YATAK
","500 TL","safe",,"https://www.letgo.com/item/baza-yatak-iid-1721327759"
"1723271793","Sandıklı baza & yatak Öğrenciye Ücretsiz Verilecek","1 TL","safe",,"https://www.letgo.com/item/sandkl-baza-yatak-ogrenciye-ucretsiz-verilecek-iid-1723271793"
"1723379310","ücretsiz yatak baza dolap eşya
","500 TL","safe",,"https://www.letgo.com/item/ucretsiz-yatak-baza-dolap-esya-iid-1723379310"
"1701348122","yatak+baza+yatak başı
","500 TL","safe",,"https://www.letgo.com/item/yatakbazayatak-bas-iid-1701348122"
"1722073974","Bosch Çamaşır Makinesi
","500 TL","safe",,"https://www.letgo.com/item/bosch-camasr-makinesi-iid-1722073974"
"1724010258","İstanbul bulaşık buzdolabı Çamaşır Makinesi Ustası (Kazan / Rulman)","123 TL","safe",,"https://www.letgo.com/item/istanbul-bulask-buzdolab-camasr-makinesi-ustas-kazan-rulman-iid-1724010258"
"1703230263","bosch çamaşır makinesi program cihazı
","500 TL","safe",,"https://www.letgo.com/item/bosch-camasr-makinesi-program-cihaz-iid-1703230263"
"1724013166","Çamaşır makinesi tamir
","500 TL","safe",,"https://www.letgo.com/item/camasr-makinesi-tamir-iid-1724013166"
"1714987146","Bosch Çamaşır Makinesi
","500 TL","safe",,"https://www.letgo.com/item/bosch-camasr-makinesi-iid-1714987146"
"1723043834","Öğrenciye Ücretsiz Bosch Bulaşık Makinesi","1 TL","safe",,"https://www.letgo.com/item/ogrenciye-ucretsiz-bosch-bulask-makinesi-iid-1723043834"
"1723683550","Bedava
","1 TL","safe",,"https://www.letgo.com/item/bedava-iid-1723683550"
"1713359060","Adet ve hepsinin fiyati farkli! Tul perdeler
","165 TL","safe",,"https://www.letgo.com/item/adet-ve-hepsinin-fiyati-farkli-tul-perdeler-iid-1713359060"
"1721322712","perde
","200 TL","safe",,"https://www.letgo.com/item/perde-iid-1721322712"
"1710835001","güneşlik-tül stor perde
","125 TL","safe",,"https://www.letgo.com/item/guneslik-tul-stor-perde-iid-1710835001"
"1720628872","perde güneşlik
","200 TL","safe",,"https://www.letgo.com/item/perde-guneslik-iid-1720628872"
"1632594354","Perde güneşlik
","170 TL","safe",,"https://www.letgo.com/item/perde-guneslik-iid-1632594354"
"1724003477","UCUZA!2 tane bazalı yatak+2 tane dolap+masa 4 sandalye
","1 TL","safe",,"https://www.letgo.com/item/ucuza2-tane-bazal-yatak2-tane-dolapmasa-4-sandalye-iid-1724003477"
"1720070999","masa sandalye","12 TL","safe",,"https://www.letgo.com/item/masa-sandalye-iid-1720070999"
"1721820725","Sandalye Masa
","1 TL","safe",,"https://www.letgo.com/item/sandalye-masa-iid-1721820725"
"1722247012","masa takimi Körfez masa sandalye","42 TL","safe",,"https://www.letgo.com/item/masa-takimi-korfez-masa-sandalye-iid-1722247012"
"1723641966","6 sandalye, 1 masa, tv konsolu (ihtiyaç sahibine ücretsiz)
","1 TL","safe",,"https://www.letgo.com/item/6-sandalye-1-masa-tv-konsolu-ihtiyac-sahibine-ucretsiz-iid-1723641966"
"1723230077","Modern Geometrik Desenli Halı | Kaymaz Taban | Salon ve Antre İçin Şık
","65 TL","safe",,"https://www.letgo.com/item/modern-geometrik-desenli-hal-kaymaz-taban-salon-ve-antre-icin-sk-iid-1723230077"
"1723229901","Klasik Desenli Halı | Kaymaz Taban | Salon ve Antre İçin Şık Gelenekse
","65 TL","safe",,"https://www.letgo.com/item/klasik-desenli-hal-kaymaz-taban-salon-ve-antre-icin-sk-gelenekse-iid-1723229901"
"1723044811","kilim halı
","150 TL","safe",,"https://www.letgo.com/item/kilim-hal-iid-1723044811"
"1714573324","Krem - Uzun Halı Kilim 73x295cm
","240 TL","safe",,"https://www.letgo.com/item/krem---uzun-hal-kilim-73x295cm-iid-1714573324"
"1715209407","halı kilim
","150 TL","safe",,"https://www.letgo.com/item/hal-kilim-iid-1715209407"
"1715209173","halı kilim
","200 TL","safe",,"https://www.letgo.com/item/hal-kilim-iid-1715209173"
"1723433149","İkinci el 27 metrekare cim halı fuar alanında sergilendi temiz herh
","250 TL","safe",,"https://www.letgo.com/item/ikinci-el-27-metrekare-cim-hal-fuar-alannda-sergilendi-temiz-herh-iid-1723433149"
"1719041719","biriland yolluk
","150 TL","safe",,"https://www.letgo.com/item/biriland-yolluk-iid-1719041719"
"1721816620","Halı
","250 TL","safe",,"https://www.letgo.com/item/hal-iid-1721816620"
"1703726312","Kilim
","120 TL","safe",,"https://www.letgo.com/item/kilim-iid-1703726312"
"1695702400","Merinos halı 4 m²
","150 TL","safe",,"https://www.letgo.com/item/merinos-hal-4-m-iid-1695702400"
"1711715187","halı
","200 TL","safe",,"https://www.letgo.com/item/hal-iid-1711715187"
"1711152353","halı
","200 TL","safe",,"https://www.letgo.com/item/hal-iid-1711152353"
"1691638903","halı kilim 80/130 cm
","100 TL","safe",,"https://www.letgo.com/item/hal-kilim-80130-cm-iid-1691638903"
"1681234916","Çamaşır makinesi","100 TL","safe",,"https://www.letgo.com/item/camasr-makinesi-iid-1681234916"
"1722878778","fırsat ürün BUZDOLABI ÇAMAŞIR MAKİNESİ ÜCRETSİZ TESLİM","26 TL","safe",,"https://www.letgo.com/item/frsat-urun-buzdolabi-camasir-makinesi-ucretsiz-teslim-iid-1722878778"
"1725339794","Ahşap Dolap ve Kitaplık – Ücretsiz","1 TL","safe",,"https://www.letgo.com/item/ahsap-dolap-ve-kitaplk-ucretsiz-iid-1725339794"
"1708818073","ASİL 4 KAPILI DOLAP","1 TL","safe",,"https://www.letgo.com/item/asil-4-kapili-dolap-iid-1708818073"
"1718819338","dolap ACİL SATILIK","300 TL","safe",,"https://www.letgo.com/item/dolap-acil-satilik-iid-1718819338"
"1724906911","temiz dolap","300 TL","safe",,"https://www.letgo.com/item/temiz-dolap-iid-1724906911"
"1681488027","Dolap","200 TL","safe",,"https://www.letgo.com/item/dolap-iid-1681488027"
"1711064691","kahvehane malzemeleri masa sandalyeleri","100 TL","safe",,"https://www.letgo.com/item/kahvehane-malzemeleri-masa-sandalyeleri-iid-1711064691"
"1718675421","polo sandalye","27 TL","safe",,"https://www.letgo.com/item/polo-sandalye-iid-1718675421"
"1720905248","yemek masası takımı masif ahşap lake boyalı","10 TL","safe",,"https://www.letgo.com/item/yemek-masas-takm-masif-ahsap-lake-boyal-iid-1720905248"
"1723554652","aktivite masasi","50 TL","safe",,"https://www.letgo.com/item/aktivite-masasi-iid-1723554652"
"1701294303","Yemek Masası","100 TL","safe",,"https://www.letgo.com/item/yemek-masas-iid-1701294303"
"1703729589","ahşap sandalye Açılır masa","21 TL","safe",,"https://www.letgo.com/item/ahsap-sandalye-aclr-masa-iid-1703729589"
"1725694873","Bohem sandayle masa takımı Ultra lüks","15 TL","safe",,"https://www.letgo.com/item/bohem-sandayle-masa-takm-ultra-luks-iid-1725694873"
"1725197868","Masa sandalye ses sistemi","10 TL","safe",,"https://www.letgo.com/item/masa-sandalye-ses-sistemi-iid-1725197868"
"1723690329","masa sandalye","19 TL","safe",,"https://www.letgo.com/item/masa-sandalye-iid-1723690329"
"1720100499","masa sandalye","25 TL","safe",,"https://www.letgo.com/item/masa-sandalye-iid-1720100499"
"1720100662","masa sandalye","24 TL","safe",,"https://www.letgo.com/item/masa-sandalye-iid-1720100662"
"1720372828","masa sandalye","24 TL","safe",,"https://www.letgo.com/item/masa-sandalye-iid-1720372828"
"1724155347","masa sandalye","15 TL","safe",,"https://www.letgo.com/item/masa-sandalye-iid-1724155347"
"1718340425","CAFE SEDİR CİFT YONLU KOLTUK İMALAT ÖLÇÜ VERİNİZ","120 TL","safe",,"https://www.letgo.com/item/cafe-sedir-cift-yonlu-koltuk-imalat-olcu-veriniz-iid-1718340425"
"1704706967","Ikea antilop mama sandalyesi","300 TL","safe",,"https://www.letgo.com/item/ikea-antilop-mama-sandalyesi-iid-1704706967"
"1723431073","MASASIZ ikea mama sandalyesi acil satılıyor","300 TL","safe",,"https://www.letgo.com/item/masasiz-ikea-mama-sandalyesi-acil-satlyor-iid-1723431073"
"1642440425","tekerlekli Orta masa, sehpa, yemek masası","300 TL","safe",,"https://www.letgo.com/item/tekerlekli-orta-masa-sehpa-yemek-masas-iid-1642440425"
"1725161841","bebek mama masası","300 TL","safe",,"https://www.letgo.com/item/bebek-mama-masas-iid-1725161841"
"1709418140","ahşap masa","150 TL","safe",,"https://www.letgo.com/item/ahsap-masa-iid-1709418140"
"1724136424","ikea mama sandalyesi","300 TL","safe",,"https://www.letgo.com/item/ikea-mama-sandalyesi-iid-1724136424"
"1723874980","mama sandalyesi","200 TL","safe",,"https://www.letgo.com/item/mama-sandalyesi-iid-1723874980"
"1721736637","çalışma masa sandalyesi","200 TL","safe",,"https://www.letgo.com/item/calsma-masa-sandalyesi-iid-1721736637"
"1721703771","Büro sandalyesi","250 TL","safe",,"https://www.letgo.com/item/buro-sandalyesi-iid-1721703771"
"1725363290","4 Adet Sandalye","300 TL","safe",,"https://www.letgo.com/item/4-adet-sandalye-iid-1725363290"
"1721668518","ikea bebek mama sandalyesi","300 TL","safe",,"https://www.letgo.com/item/ikea-bebek-mama-sandalyesi-iid-1721668518"
"1722636276","beyaz mama sandalyesi","300 TL","safe",,"https://www.letgo.com/item/beyaz-mama-sandalyesi-iid-1722636276"
"1718936685","mama sandalyesi / joie marka","300 TL","safe",,"https://www.letgo.com/item/mama-sandalyesi-joie-marka-iid-1718936685"
"1722220670","mama sandalyesi","300 TL","safe",,"https://www.letgo.com/item/mama-sandalyesi-iid-1722220670"
"1725930887","ikea antilop mama sandalyesi","200 TL","safe",,"https://www.letgo.com/item/ikea-antilop-mama-sandalyesi-iid-1725930887"
"1724386279","mama sandalyesi","300 TL","safe",,"https://www.letgo.com/item/mama-sandalyesi-iid-1724386279"
"1721462856","mama sandalyesi","300 TL","safe",,"https://www.letgo.com/item/mama-sandalyesi-iid-1721462856"
"1723520833","SANDELYE VE MASA BEDAVA FİYAT ALDIM DİYENE 400","300 TL","safe",,"https://www.letgo.com/item/sandelye-ve-masa-bedava-fiyat-aldim-diyene-400-iid-1723520833"
"1701160174","masa sandalye","300 TL","safe",,"https://www.letgo.com/item/masa-sandalye-iid-1701160174"
"1700179187","çocuk masa ve sandalye","250 TL","safe",,"https://www.letgo.com/item/cocuk-masa-ve-sandalye-iid-1700179187"
"1647756295","Ahşap masa sandalye","250 TL","safe",,"https://www.letgo.com/item/ahsap-masa-sandalye-iid-1647756295"
"1708631773","mekan sandalye masa","300 TL","safe",,"https://www.letgo.com/item/mekan-sandalye-masa-iid-1708631773"
"1720865111","cocuk masa sandalye","180 TL","safe",,"https://www.letgo.com/item/cocuk-masa-sandalye-iid-1720865111"
"1716215162","plastik masa sandalye","250 TL","safe",,"https://www.letgo.com/item/plastik-masa-sandalye-iid-1716215162"
"1722229355","masa sandalye","180 TL","safe",,"https://www.letgo.com/item/masa-sandalye-iid-1722229355"
"1721909908","Ergül Mabilya Bazalı Çekyat/Kanepe","90 TL","safe",,"https://www.letgo.com/item/ergul-mabilya-bazal-cekyatkanepe-iid-1721909908"
"1725495010","kanepe ücretsiz","10 TL","safe",,"https://www.letgo.com/item/kanepe-ucretsiz-iid-1725495010"
"1725859501","yataklı kanepe","100 TL","safe",,"https://www.letgo.com/item/yatakl-kanepe-iid-1725859501"
"1698738509","koltuk tamiri mobilya tamiri yapıyoruz","100 TL","safe",,"https://www.letgo.com/item/koltuk-tamiri-mobilya-tamiri-yapyoruz-iid-1698738509"
"1724926121","3’lü kanepe","1 TL","safe",,"https://www.letgo.com/item/3lu-kanepe-iid-1724926121"
"1725639054","Ücretsiz - 3 Kişilik Kanepe","1 TL","safe",,"https://www.letgo.com/item/ucretsiz---3-kisilik-kanepe-iid-1725639054"
"1691867007","kanepe kumandalık cebi","250 TL","safe",,"https://www.letgo.com/item/kanepe-kumandalk-cebi-iid-1691867007"
"1725695470","açılır kapanır masa","250 TL","safe",,"https://www.letgo.com/item/aclr-kapanr-masa-iid-1725695470"
"1712213304","yatak olan koltuk ve çekmece saglam","299 TL","safe",,"https://www.letgo.com/item/yatak-olan-koltuk-ve-cekmece-saglam-iid-1712213304"
"1720680145","Moda Life Kanepe","300 TL","safe",,"https://www.letgo.com/item/moda-life-kanepe-iid-1720680145"
"1719960364","Kayseri Koltuk Döşeme","203 TL","safe",,"https://www.letgo.com/item/kayseri-koltuk-doseme-iid-1719960364"
"1719272607","DERİ KOLTUK KARYOLA KANEPE KÖŞE KOLTUK İMALAT DİGER İLANLARA BAKİNİZ","111 TL","safe",,"https://www.letgo.com/item/deri-koltuk-karyola-kanepe-kose-koltuk-imalat-diger-ilanlara-bakiniz-iid-1719272607"
"1712141365","yolluk hali","15 TL","safe",,"https://www.letgo.com/item/yolluk-hali-iid-1712141365"
"1711975338","yolluk uzun","35 TL","safe",,"https://www.letgo.com/item/yolluk-uzun-iid-1711975338"
"1715875798","salon halısı","100 TL","safe",,"https://www.letgo.com/item/salon-hals-iid-1715875798"
"1725240730","pierre cardin halı","100 TL","safe",,"https://www.letgo.com/item/pierre-cardin-hal-iid-1725240730"
"1707384608","yolluk","7 TL","safe",,"https://www.letgo.com/item/yolluk-iid-1707384608"
"1667350745","Ara yolluk halı destan marka 80,e 150cm","100 TL","safe",,"https://www.letgo.com/item/ara-yolluk-hal-destan-marka-80e-150cm-iid-1667350745"
"1721211132","stok yolluk","68 TL","safe",,"https://www.letgo.com/item/stok-yolluk-iid-1721211132"
"1688647477","brilliant makinede yıkana bilir halı","70 TL","safe",,"https://www.letgo.com/item/brilliant-makinede-ykana-bilir-hal-iid-1688647477"
"1723062232","halı 90.150 çok kaliteli ve yumuşak ihtiyaç fazlasi","100 TL","safe",,"https://www.letgo.com/item/hal-90150-cok-kaliteli-ve-yumusak-ihtiyac-fazlasi-iid-1723062232"
"1693485361","Kilim","50 TL","safe",,"https://www.letgo.com/item/kilim-iid-1693485361"
"1711803975","Kilim","50 TL","safe",,"https://www.letgo.com/item/kilim-iid-1711803975"
"1722408141","Halı","100 TL","safe",,"https://www.letgo.com/item/hal-iid-1722408141"
"1697697548","halı 3 adet","100 TL","safe",,"https://www.letgo.com/item/hal-3-adet-iid-1697697548"
"1696770614","YOLLUK ve HALI MODELLERİ","1 TL","safe",,"https://www.letgo.com/item/yolluk-ve-hali-modelleri-iid-1696770614"
"1702064570","Halı modelleri","1 TL","safe",,"https://www.letgo.com/item/hal-modelleri-iid-1702064570"
"1702064737","Halı modelleri","1 TL","safe",,"https://www.letgo.com/item/hal-modelleri-iid-1702064737"
"1720556890","Bedava Tüylü Büyük Halı","1 TL","safe",,"https://www.letgo.com/item/bedava-tuylu-buyuk-hal-iid-1720556890"
"1699440035","YOLLUK ve HALI MODELLERİ ❌KARGO BEDAVA ✔️✔️✔️✔️✔️✔️✔️✔️","1 TL","safe",,"https://www.letgo.com/item/yolluk-ve-hali-modelleri-kargo-bedava-iid-1699440035"
"1724859445","koltuk","1 TL","safe",,"https://www.letgo.com/item/koltuk-iid-1724859445"
"1717365755","temiz halılar","450 TL","safe",,"https://www.letgo.com/item/temiz-hallar-iid-1717365755"
"1723651693","tekleme tabaklar","200 TL","safe",,"https://www.letgo.com/item/tekleme-tabaklar-iid-1723651693"
"1701021915","Raf","100 TL","safe",,"https://www.letgo.com/item/raf-iid-1701021915"
"1723669603","ayakkabılık","300 TL","safe",,"https://www.letgo.com/item/ayakkablk-iid-1723669603"
"1701020271","Masa","300 TL","safe",,"https://www.letgo.com/item/masa-iid-1701020271"
"1716955333","fakir dikey elektrikli süpürge","500 TL","safe",,"https://www.letgo.com/item/fakir-dikey-elektrikli-supurge-iid-1716955333"
"1719700577","berjer","1 TL","safe",,"https://www.letgo.com/item/berjer-iid-1719700577"
"1725734436","Az kullanılmış ikea","10 TL","safe",,"https://www.letgo.com/item/az-kullanlms-ikea-iid-1725734436"
"1725968926","Şifonyer","200 TL","safe",,"https://www.letgo.com/item/sifonyer-iid-1725968926"
"1725518686","bilgisayar masası","1 TL","safe",,"https://www.letgo.com/item/bilgisayar-masas-iid-1725518686"
"1668332843","Öğrenciye ücretsiz-nakliye hariçtir","1 TL","safe",,"https://www.letgo.com/item/ogrenciye-ucretsiz-nakliye-harictir-iid-1668332843"
"1725521795","VESTEL BUZDOLABI ÖĞRENCİYE ÜCRETSİZ","500 TL","safe",,"https://www.letgo.com/item/vestel-buzdolabi-ogrenciye-ucretsiz-iid-1725521795"
"1725792831","BAZA YATAK BİR BUÇUK KİŞİLİK","500 TL","safe",,"https://www.letgo.com/item/baza-yatak-bir-bucuk-kisilik-iid-1725792831"
"1725963412","öğrenciye ücretsiz","1 TL","safe",,"https://www.letgo.com/item/ogrenciye-ucretsiz-iid-1725963412"
"1722460266","ÖĞRENCİYE ÜCRETSİZ VERİLECEKTİR","1 TL","safe",,"https://www.letgo.com/item/ogrenciye-ucretsiz-verilecektir-iid-1722460266"
"1724225108","uygun fiyat etiketi üstünde dolgu topuk","500 TL","safe",,"https://www.letgo.com/item/uygun-fiyat-etiketi-ustunde-dolgu-topuk-iid-1724225108"
"1715726912","tertemiz yolluk","500 TL","safe",,"https://www.letgo.com/item/tertemiz-yolluk-iid-1715726912"
"1725191931","çocuk oyun masası","500 TL","safe",,"https://www.letgo.com/item/cocuk-oyun-masas-iid-1725191931"
"1726072325","5.0 Satıcı Puanı","400 TL","safe",,"https://www.letgo.com/item/2-adet-buyuk-uclu-koltuk-lacivert-antika-iid-1726072325"
"1724252925","dolap","245 TL","safe",,"https://www.letgo.com/item/dolap-iid-1724252925"
"1718799452","Joie MAMA SANDALYESİ","450 TL","safe",,"https://www.letgo.com/item/joie-mama-sandalyesi-iid-1718799452"
"1722002626","Büyük koltuk yanları yok sadece herşeyi tam","500 TL","safe",,"https://www.letgo.com/item/buyuk-koltuk-yanlar-yok-sadece-herseyi-tam-iid-1722002626"
"1725582953","zigon sehpa","500 TL","safe",,"https://www.letgo.com/item/zigon-sehpa-iid-1725582953"
"1722002404","Portakal sıkma araci","500 TL","safe",,"https://www.letgo.com/item/portakal-skma-araci-iid-1722002404"
"1706917493","taşınıyoruz acil vericem","300 TL","safe",,"https://www.letgo.com/item/tasnyoruz-acil-vericem-iid-1706917493"
"1725868394","tam boy fırın","500 TL","safe",,"https://www.letgo.com/item/tam-boy-frn-iid-1725868394"
"1725733145","Acil 13 Mart'ta taşınana kadar veriyorum. 1.5 kişilik ikinci El Baza","1 TL","safe",,"https://www.letgo.com/item/acil-13-martta-tasnana-kadar-veriyorum-15-kisilik-ikinci-el-baza-iid-1725733145"
"1717273072","açılır kapanır masa","500 TL","safe",,"https://www.letgo.com/item/aclr-kapanr-masa-iid-1717273072"
"1725312886","mini fırın 500 tl taşınyorum","500 TL","safe",,"https://www.letgo.com/item/mini-frn-500-tl-tasnyorum-iid-1725312886"
"1719522240","TEMİZ ÇALIŞMA MASASI","300 TL","safe",,"https://www.letgo.com/item/temiz-calisma-masasi-iid-1719522240"
"1671713761","Oyuncak Pet taşıma,evcil hayvanını taşıyorum,Seyehat ediyoruz","250 TL","safe",,"https://www.letgo.com/item/oyuncak-pet-tasmaevcil-hayvann-tasyorumseyehat-ediyoruz-iid-1671713761"
"1725735188","Acil 13 Mart'ta taşınıyorum. İkinci El 2 adet Babaanne Yorganları","1 TL","safe",,"https://www.letgo.com/item/acil-13-martta-tasnyorum-ikinci-el-2-adet-babaanne-yorganlar-iid-1725735188"
"1725764878","Acil 13 Mart'ta taşınıyorum. 2. El Açılabilir Yemek Masası","1 TL","safe",,"https://www.letgo.com/item/acil-13-martta-tasnyorum-2-el-aclabilir-yemek-masas-iid-1725764878"
"1724612421","HASIR SEPET İSTER FAZLALIK ACİL SATILIK TAŞINIYORUM","500 TL","safe",,"https://www.letgo.com/item/hasir-sepet-ister-fazlalik-acil-satilik-tasiniyorum-iid-1724612421"
"1725734104","Acil 13 Mart'ta taşınıyorum. İkinci El Yer Koltuğu","1 TL","safe",,"https://www.letgo.com/item/acil-13-martta-tasnyorum-ikinci-el-yer-koltugu-iid-1725734104"
"1725762160","Acil 13 Mart'ta taşınıyorum. 2. El TV Sehpası","1 TL","safe",,"https://www.letgo.com/item/acil-13-martta-tasnyorum-2-el-tv-sehpas-iid-1725762160"
"1725767907","Acil 13 Mart'ta taşınıyorum. 2. El Alçak Masa","1 TL","safe",,"https://www.letgo.com/item/acil-13-martta-tasnyorum-2-el-alcak-masa-iid-1725767907"
"1661959794","Beyaz eşya teknik servisi buzdolabı çamaşır makinesi bulaşık Makinesi","200 TL","safe",,"https://www.letgo.com/item/beyaz-esya-teknik-servisi-buzdolab-camasr-makinesi-bulask-makinesi-iid-1661959794"
"1725266388","BUZDOLABI ÇAMAŞIR BULAŞIK DETAY İÇİN İLETİŞİME GEÇEBİLİRSİNİZ","111 TL","safe",,"https://www.letgo.com/item/buzdolabi-camasir-bulasik-detay-icin-iletisime-gecebilirsiniz-iid-1725266388"
"1718085728","BAZA BAŞLIĞI CİFT KİSİLİK","100 TL","safe",,"https://www.letgo.com/item/baza-basligi-cift-kisilik-iid-1718085728"
"1724924958","halı üçretsiz","100 TL","safe",,"https://www.letgo.com/item/hal-ucretsiz-iid-1724924958"
"1705945799","yatak başlığı","100 TL","safe",,"https://www.letgo.com/item/yatak-baslg-iid-1705945799"
"1725775058","baza, yatak","50 TL","safe",,"https://www.letgo.com/item/baza-yatak-iid-1725775058"
"1656210340","Çift kişilik baza başlığı 160cm*200cm bazaya uyumlu yükseklik180cm civ","200 TL","safe",,"https://www.letgo.com/item/cift-kisilik-baza-baslg-160cm200cm-bazaya-uyumlu-yukseklik180cm-civ-iid-1656210340"
"1725099085","baza ve başlık","200 TL","safe",,"https://www.letgo.com/item/baza-ve-baslk-iid-1725099085"
"1725234826","baza başlıklı bellona","300 TL","safe",,"https://www.letgo.com/item/baza-baslkl-bellona-iid-1725234826"
"1725399451","Tek kişilik baza","300 TL","safe",,"https://www.letgo.com/item/tek-kisilik-baza-iid-1725399451"
"1706968357","YATAS YATAK","250 TL","safe",,"https://www.letgo.com/item/yatas-yatak-iid-1706968357"
"1718630257","tek kişilik baza","150 TL","safe",,"https://www.letgo.com/item/tek-kisilik-baza-iid-1718630257"
"1714509621","tekli baza yatağı","300 TL","safe",,"https://www.letgo.com/item/tekli-baza-yatag-iid-1714509621"
"1717732474","ÇOCUK BAZA KORUMA","200 TL","safe",,"https://www.letgo.com/item/cocuk-baza-koruma-iid-1717732474"
"1725511690","ikinci el baza","150 TL","safe",,"https://www.letgo.com/item/ikinci-el-baza-iid-1725511690"
"1704173151","uygun fiyata baza","300 TL","safe",,"https://www.letgo.com/item/uygun-fiyata-baza-iid-1704173151"
"1672089231","Çift kişilik başlık deri detaylı","190 TL","safe",,"https://www.letgo.com/item/cift-kisilik-baslk-deri-detayl-iid-1672089231"
"1725983803","baza sağlam temiz tek kişilik","299 TL","safe",,"https://www.letgo.com/item/baza-saglam-temiz-tek-kisilik-iid-1725983803"
"1726036314","TEK KISILIK YATAK BAŞLIĞI/KANEPE/BAZA/YATAK","250 TL","safe",,"https://www.letgo.com/item/tek-kisilik-yatak-basligikanepebazayatak-iid-1726036314"
"1725510333","baza yatak","200 TL","flagged","Yasaklı kelime: ""temsilidir""","https://www.letgo.com/item/baza-yatak-iid-1725510333"
"1723275322","ikea mamut sandalye","299 TL","flagged","Ticari Satıcı: ""mağaza""","https://www.letgo.com/item/ikea-mamut-sandalye-iid-1723275322"
